FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,WHH,WHD,WHA
1.0,1.0,D,0.0,0.0,D,2.375,3.0,2.75,2.25,3.2,2.75
1.0,0.0,H,1.0,0.0,H,2.8,3.2,2.25,2.75,3.2,2.25
3.0,1.0,H,0.0,0.0,D,1.533,3.5,5.5,1.57,3.3,5.5
0.0,1.0,A,0.0,0.0,D,1.727,3.25,4.333,1.8,3.1,4.0
0.0,1.0,A,0.0,0.0,D,1.8,3.25,4.0,1.8,3.1,4.0
1.0,2.0,A,1.0,1.0,D,1.3,4.5,8.0,1.28,4.5,8.0
0.0,2.0,A,0.0,1.0,A,2.1,3.25,3.0,2.1,3.2,3.0
2.0,0.0,H,1.0,0.0,H,1.4,3.75,7.5,1.33,4.0,8.0
2.0,1.0,H,0.0,0.0,D,1.533,3.5,5.5,1.5,3.4,6.0
1.0,1.0,D,0.0,1.0,A,1.3,4.5,8.0,1.3,4.33,8.0
2.0,2.0,D,1.0,1.0,D,2.2,3.25,2.8,2.2,3.2,2.8
2.0,1.0,H,1.0,1.0,D,1.533,3.5,5.5,1.5,3.4,6.0
4.0,2.0,H,2.0,2.0,D,2.375,3.2,2.625,2.3,3.1,2.75
0.0,1.0,A,0.0,0.0,D,2.0,3.25,3.25,2.1,3.2,3.0
1.0,1.0,D,0.0,1.0,A,2.1,3.25,3.0,2.2,3.1,2.87
3.0,1.0,H,0.0,0.0,D,1.909,3.25,3.5,2.0,3.2,3.2
2.0,0.0,H,1.0,0.0,H,1.333,4.333,7.5,1.33,4.0,8.0
2.0,1.0,H,1.0,1.0,D,1.333,4.333,7.5,1.33,4.0,8.0
1.0,2.0,A,0.0,0.0,D,2.4,3.2,2.6,2.5,3.1,2.5
0.0,0.0,D,0.0,0.0,D,1.727,3.25,4.333,1.66,3.3,4.5
1.0,1.0,D,0.0,1.0,A,1.909,3.25,3.5,2.0,3.2,3.2
0.0,1.0,A,0.0,1.0,A,4.5,3.4,1.667,3.75,3.3,1.8
0.0,1.0,A,0.0,0.0,D,1.727,3.25,4.333,1.8,3.3,3.75
0.0,0.0,D,0.0,0.0,D,2.3,3.2,2.7,2.37,3.1,2.62
2.0,0.0,H,1.0,0.0,H,2.0,3.25,3.25,1.9,3.2,3.5
