FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
1,0,H,0,0,D,2.2,3.25,2.8,2.25,3.25,2.9,2.2,3.0,2.9,2.1,3.4,2.8,2.2,3.2,2.87,2.2,3.25,2.75
2,1,H,0,1,A,1.61,3.4,5.0,1.62,3.5,5.35,1.65,3.3,4.4,1.571,3.5,5.0,1.53,3.4,6.0,1.57,3.5,5.0
1,2,A,1,2,A,2.1,3.25,3.0,2.25,3.25,2.9,2.1,3.0,3.1,2.2,3.25,2.75,2.1,3.2,3.1,2.1,3.2,3.0
0,0,D,0,0,D,1.33,4.33,7.5,1.41,4.0,7.5,1.4,3.9,6.0,1.333,4.0,8.0,1.4,3.75,7.5,1.33,4.0,8.0
3,0,H,0,0,D,1.44,3.75,6.5,1.45,3.85,6.75,1.45,3.8,5.4,1.4,4.0,6.5,1.44,3.75,6.5,1.44,3.6,6.5
5,3,H,3,1,H,1.72,3.25,4.33,1.85,3.3,4.0,1.9,3.1,3.5,1.727,3.4,4.0,1.75,3.4,4.0,1.8,3.3,3.75
6,2,H,2,0,H,1.53,3.5,5.5,1.55,3.6,5.75,1.5,3.7,5.0,1.5,3.6,5.5,1.5,3.5,6.0,1.4,3.75,7.0
1,0,H,0,0,D,2.3,3.2,2.7,2.25,3.3,2.85,2.2,3.0,2.9,2.25,3.2,2.75,2.3,3.2,2.7,2.37,3.1,2.62
1,4,A,0,1,A,2.4,3.2,2.6,2.45,3.25,2.65,2.3,3.0,2.7,2.4,3.25,2.5,2.4,3.2,2.6,2.5,3.1,2.5
0,0,D,0,0,D,5.0,3.6,1.57,5.5,3.5,1.6,4.2,3.2,1.7,5.0,3.25,1.615,5.0,3.4,1.61,5.0,3.3,1.61
1,0,H,0,0,D,1.72,3.25,4.33,1.66,3.4,5.0,1.7,3.2,4.2,1.667,3.4,4.333,1.66,3.4,4.5,1.66,3.3,4.5
1,3,A,0,2,A,2.2,3.25,2.8,2.12,3.35,3.05,2.1,3.0,3.1,2.1,3.2,3.0,2.1,3.25,3.0,2.1,3.1,3.1
3,1,H,2,1,H,1.61,3.4,5.0,1.6,3.5,5.5,1.6,3.4,4.6,1.571,3.5,5.0,1.61,3.4,5.0,1.61,3.3,5.0
4,0,H,1,0,H,2.1,3.25,3.0,2.05,3.25,3.25,1.9,3.1,3.5,2.0,3.2,3.2,2.1,3.2,3.1,2.2,3.2,2.8
0,2,A,0,0,D,1.72,3.5,4.0,1.7,3.5,4.6,1.65,3.3,4.4,1.667,3.4,4.333,1.7,3.4,4.33,1.72,3.1,4.5
4,1,H,2,0,H,1.36,4.0,7.5,1.35,4.25,7.7,1.35,4.0,7.0,1.364,3.75,8.0,1.36,4.0,7.5,1.36,3.75,8.0
2,0,H,0,0,D,2.1,3.25,3.0,2.2,3.2,3.05,2.2,3.0,2.9,2.1,3.2,3.0,2.1,3.25,3.0,2.1,3.2,3.0
2,4,A,0,3,A,2.5,3.2,2.5,2.6,3.2,2.45,2.5,3.0,2.5,2.5,3.25,2.4,2.5,3.2,2.5,2.5,3.1,2.5
2,2,D,1,0,H,2.1,3.25,3.0,2.15,3.25,3.0,2.1,3.0,3.1,2.1,3.2,3.0,2.1,3.25,3.0,2.1,3.2,3.0
1,1,D,1,1,D,2.1,3.25,3.0,2.1,3.2,3.2,2.0,3.1,3.2,2.1,3.2,3.0,2.1,3.25,3.0,2.1,3.2,3.0
0,1,A,0,1,A,2.37,3.2,2.62,2.45,3.2,2.6,2.5,3.0,2.5,2.375,3.2,2.6,2.5,3.2,2.5,2.3,3.2,2.62
1,0,H,0,0,D,1.61,3.4,5.0,1.65,3.5,4.8,1.6,3.4,4.6,1.615,3.5,4.5,1.61,3.4,5.0,1.57,3.5,5.0
3,0,H,1,0,H,2.62,3.2,2.37,2.8,3.25,2.3,2.7,3.0,2.3,2.625,3.4,2.25,2.8,3.1,2.3,2.8,3.0,2.3
1,0,H,0,0,D,1.3,4.5,8.0,1.38,4.25,7.5,1.45,3.8,5.4,1.333,4.0,8.0,1.33,4.2,8.0,1.33,4.2,7.5
1,2,A,1,1,D,2.25,3.25,2.75,2.25,3.25,2.9,2.2,3.1,2.8,2.25,3.2,2.75,2.25,3.2,2.8,2.2,3.2,2.8
1,1,D,1,1,D,1.9,3.25,3.5,1.85,3.25,3.9,1.75,3.2,4.0,1.91,3.2,3.5,1.91,3.25,3.5,1.9,3.2,3.5
3,1,H,0,1,A,2.1,3.25,3.0,2.15,3.25,3.1,2.2,3.0,2.9,2.1,3.4,2.88,2.1,3.25,3.0,2.1,3.2,3.0
2,0,H,1,0,H,3.5,3.25,1.9,3.4,3.3,2.0,3.1,3.0,2.1,3.2,3.2,2.0,3.25,3.25,2.0,3.0,3.2,2.1
4,1,H,1,1,D,1.4,3.75,7.5,1.45,3.75,7.0,1.5,3.7,5.0,1.44,3.6,6.5,1.44,3.75,6.5,1.4,3.75,7.0
3,1,H,2,0,H,1.44,3.75,6.5,1.45,3.75,7.0,1.4,3.9,6.0,1.4,4.0,6.5,1.44,3.75,6.5,1.4,3.75,7.0
3,0,H,1,0,H,1.83,3.25,3.75,1.97,3.25,3.5,2.0,3.1,3.2,1.8,3.25,3.75,1.85,3.25,3.75,1.9,3.3,3.3
3,2,H,0,1,A,1.57,3.4,5.5,1.6,3.6,5.0,1.65,3.3,4.4,1.5,3.6,5.5,1.53,3.4,6.0,1.5,3.4,6.0
0,0,D,0,0,D,2.7,3.2,2.3,2.65,3.2,2.45,2.7,3.0,2.3,2.6,3.2,2.38,2.7,3.2,2.3,2.75,3.2,2.25
4,0,H,3,0,H,1.61,3.4,5.0,1.7,3.5,4.35,1.75,3.2,4.0,1.667,3.25,4.5,1.61,3.4,5.0,1.57,3.5,5.0
0,2,A,0,1,A,3.75,3.25,1.83,3.7,3.3,1.9,3.5,3.1,1.9,3.25,3.4,1.909,3.5,3.25,1.9,3.75,3.3,1.8
3,2,H,2,0,H,2.25,3.25,2.75,2.2,3.3,2.9,2.2,3.0,2.9,2.2,3.25,2.75,2.25,3.2,2.8,2.3,3.1,2.75
3,1,H,0,0,D,1.83,3.2,3.75,1.8,3.45,3.9,1.8,3.1,3.8,1.833,3.2,3.75,1.8,3.25,4.0,1.83,3.3,3.6
1,5,A,0,3,A,2.7,3.2,2.3,2.8,3.25,2.3,2.7,3.0,2.3,2.75,3.2,2.25,2.75,3.2,2.3,2.62,3.1,2.37
