FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5
3,1,H,1,0,H,9,8,7,4,2.2,3.25,2.8,2.25,3.32,3.0,2.0,3.1,3.2,2.0,3.2,3.2,2.2,3.25,2.8,2.2,3.25,3.0,2.1,3.1,3.1,2.05,1.67,,
1,1,D,0,1,A,15,5,8,1,2.0,3.25,3.25,1.96,3.4,3.66,1.9,3.1,3.5,2.1,3.0,3.2,2.0,3.25,3.25,2.0,3.2,3.5,1.9,3.2,3.5,1.98,1.73,,
3,0,H,3,0,H,16,7,10,2,1.444,3.75,6.5,1.45,3.95,7.5,1.45,3.8,5.4,1.4,3.75,7.0,1.4,3.75,7.5,1.4,4.0,7.5,1.44,3.6,6.5,1.73,1.95,,
1,0,H,1,0,H,11,5,2,1,1.667,3.4,4.5,1.74,3.42,4.47,1.8,3.1,3.8,1.57,3.5,5.0,1.57,3.4,5.5,1.667,3.4,4.75,1.66,3.3,4.5,1.9,1.78,,
3,1,H,2,1,H,11,9,6,6,3.5,3.25,1.909,4.23,3.55,1.92,3.6,3.1,1.85,3.75,3.2,1.83,3.75,3.25,1.83,4.2,3.25,1.8,3.75,3.2,1.83,1.8,2.06,,
1,0,H,0,0,D,11,13,3,7,3.25,3.25,2.0,3.3,3.26,2.23,2.9,3.0,2.2,3.4,3.0,2.0,3.0,3.25,2.1,3.2,3.25,2.1,3.0,3.2,2.1,1.9,1.8,,
1,1,D,1,0,H,21,11,12,3,2.25,3.25,2.75,2.38,3.3,2.9,2.3,3.0,2.7,2.25,3.2,2.75,2.25,3.25,2.75,2.375,3.25,2.75,2.3,3.1,2.7,2.0,1.76,,
2,0,H,0,0,D,13,9,5,3,2.7,3.2,2.3,2.67,3.34,2.54,2.4,3.0,2.6,2.8,3.2,2.2,2.62,3.2,2.38,2.75,3.25,2.375,2.8,3.1,2.25,1.9,1.78,,
3,4,A,1,4,A,19,12,9,8,2.375,3.2,2.625,2.6,3.34,2.64,2.3,3.0,2.7,2.4,3.25,2.5,2.5,3.2,2.5,2.5,3.25,2.6,2.5,3.1,2.5,1.9,1.84,,
3,0,H,1,0,H,17,6,12,5,1.533,3.5,5.5,1.55,3.6,6.25,1.6,3.4,4.6,1.57,3.5,5.0,1.53,3.5,5.5,1.533,3.6,6.0,1.53,3.25,6.0,1.65,1.95,1.72,2.0
1,0,H,0,0,D,13,7,5,4,1.727,3.2,4.5,1.77,3.35,4.6,1.7,3.2,4.2,1.62,3.5,4.5,1.67,3.4,4.5,1.7,3.4,4.75,1.72,3.25,4.2,1.8,1.8,1.8,1.9
0,1,A,0,0,D,15,13,4,4,1.667,3.4,4.5,1.75,3.45,4.5,1.8,3.1,3.8,1.73,3.2,4.33,1.62,3.4,5.0,1.7,3.4,4.75,1.61,3.3,5.0,1.8,1.85,1.83,1.83
2,1,H,1,1,D,18,8,13,3,1.615,3.4,5.0,1.66,3.5,5.2,1.55,3.5,4.8,1.62,3.25,5.0,1.67,3.4,4.5,1.571,3.4,6.0,1.57,3.5,5.0,1.75,1.85,1.72,2.0
0,0,D,0,0,D,10,8,5,5,2.625,3.0,2.5,2.55,3.2,2.5,2.7,3.0,2.3,2.75,3.0,2.38,2.6,3.0,2.5,2.625,3.2,2.5,2.62,2.9,2.5,1.95,1.65,2.2,1.61
0,0,D,0,0,D,11,4,6,1,2.3,3.2,2.7,2.3,3.3,2.75,2.2,3.0,2.9,2.2,3.25,2.75,2.38,3.2,2.63,2.375,3.2,2.75,2.25,3.1,2.8,1.8,1.8,2.0,1.72
0,1,A,0,1,A,16,9,6,6,2.1,3.25,3.0,2.2,3.3,3.1,1.9,3.1,3.5,2.1,3.2,3.0,2.1,3.25,3.0,2.1,3.25,3.2,2.1,3.2,3.0,1.75,1.85,1.9,1.8
2,4,A,1,1,D,12,14,3,7,1.5,3.5,6.0,1.5,3.75,6.75,1.5,3.7,5.0,1.57,3.5,5.0,1.57,3.4,5.5,1.533,3.6,6.0,1.57,3.3,5.5,1.75,1.85,1.83,1.83
0,0,D,0,0,D,27,0,12,0,1.364,4.0,7.5,1.44,4.0,7.75,1.4,3.9,6.0,1.33,4.0,8.0,1.4,3.75,7.5,1.364,4.0,9.0,1.33,4.0,8.0,1.8,1.8,1.9,1.8
1,1,D,0,1,A,3,11,1,4,4.0,3.25,1.8,4.5,3.4,1.7,3.8,3.1,1.8,4.33,3.4,1.67,4.33,3.25,1.73,4.5,3.4,1.727,4.33,3.2,1.72,1.6,1.9,1.8,1.9
4,1,H,1,0,H,23,15,11,8,1.8,3.25,4.0,1.96,3.33,3.79,1.9,3.1,3.5,1.8,3.2,4.0,1.83,3.25,3.75,1.85,3.25,3.75,1.83,3.2,3.75,1.9,1.8,2.1,1.66
1,1,D,0,0,D,15,15,8,11,3.5,3.25,1.909,3.51,3.25,2.02,2.9,3.0,2.2,3.75,3.2,1.83,3.5,3.25,1.91,3.5,3.25,1.909,3.4,3.25,1.9,1.8,1.8,1.9,1.8
1,0,H,1,0,H,17,13,9,8,1.444,3.6,7.0,1.6,3.53,5.7,1.6,3.4,4.6,1.5,3.4,6.0,1.5,3.5,6.0,1.5,3.5,6.0,1.44,3.5,7.0,1.89,1.75,2.0,1.72
3,2,H,2,0,H,11,14,10,11,3.75,3.25,1.833,3.4,3.3,2.0,3.5,3.1,1.9,3.75,3.2,1.83,3.5,3.25,1.91,3.5,3.25,1.909,3.5,3.2,1.9,1.95,1.7,1.9,1.8
5,3,H,3,1,H,11,10,9,7,1.615,3.4,5.0,1.67,3.53,5.4,1.6,3.4,4.6,1.62,3.25,5.0,1.62,3.4,5.0,1.615,3.4,5.0,1.66,3.3,4.5,1.67,2.0,1.72,2.0
3,1,H,0,0,D,18,9,7,5,1.727,3.25,4.333,1.83,3.37,3.95,1.8,3.1,3.8,1.67,3.4,4.33,1.73,3.4,4.0,1.75,3.4,4.0,1.72,3.4,4.0,1.9,1.92,2.0,1.72
3,2,H,1,1,D,8,7,3,2,4.333,3.25,1.727,4.25,3.43,1.83,3.8,3.1,1.8,4.33,3.4,1.67,4.5,3.4,1.67,4.5,3.25,1.7,4.5,3.3,1.66,1.75,1.9,1.8,1.9
0,1,A,0,0,D,7,11,2,9,1.909,3.25,3.5,1.9,3.3,3.7,1.85,3.1,3.6,1.83,3.2,3.75,1.91,3.25,3.5,1.909,3.25,3.5,1.9,3.2,3.5,2.05,1.7,2.2,1.61
3,1,H,0,0,D,13,12,9,7,2.4,3.2,2.6,2.45,3.3,2.6,2.3,3.0,2.7,2.4,3.25,2.5,2.38,3.2,2.63,2.4,3.2,2.6,2.37,3.1,2.62,1.9,1.7,2.0,1.72
2,0,H,2,0,H,11,8,6,4,2.1,3.25,3.0,2.12,3.41,3.1,2.2,3.0,2.9,2.0,3.2,3.2,2.1,3.25,3.0,2.1,3.25,3.0,2.0,3.2,3.2,1.75,1.85,1.83,1.83
3,1,H,1,0,H,13,12,7,5,1.333,4.0,9.0,1.35,4.32,8.0,1.4,3.9,6.0,1.4,3.75,7.0,1.36,3.75,8.5,1.364,3.75,8.5,1.28,4.5,8.0,1.76,1.95,1.8,1.9
1,1,D,0,0,D,13,7,6,3,2.6,3.2,2.4,2.7,3.38,2.44,2.5,3.0,2.5,2.6,3.2,2.38,2.63,3.2,2.38,2.6,3.2,2.4,2.6,3.1,2.4,1.92,1.76,2.0,1.72
2,1,H,1,0,H,8,9,4,7,2.0,3.25,3.25,2.0,3.28,3.44,2.0,3.1,3.2,1.91,3.2,3.5,2.0,3.25,3.25,2.0,3.25,3.25,2.0,3.2,3.2,1.88,1.86,1.9,1.8
3,0,H,0,0,D,15,1,11,0,1.4,3.75,7.5,1.44,4.03,8.0,1.45,3.6,5.8,1.4,3.75,7.0,1.36,4.0,7.5,1.4,3.75,7.5,1.4,3.6,7.5,1.88,1.81,1.83,1.83
2,0,H,1,0,H,13,3,10,3,1.8,3.25,4.0,1.88,3.35,3.92,1.9,3.1,3.5,1.73,3.5,3.75,1.8,3.4,3.75,1.8,3.25,4.0,1.8,3.3,3.75,1.89,1.86,1.83,1.83
1,0,H,0,0,D,16,11,8,2,2.7,3.2,2.3,3.0,3.33,2.35,2.7,3.0,2.3,3.0,3.2,2.1,2.88,3.2,2.2,2.8,3.2,2.25,3.0,3.0,2.2,2.0,1.7,2.1,1.66
1,2,A,1,0,H,18,14,6,10,1.8,3.25,4.0,1.75,3.31,4.5,1.75,3.2,4.0,1.8,3.25,3.75,1.73,3.25,4.33,1.727,3.25,4.333,1.9,3.25,3.4,1.8,1.8,1.9,1.8
1,2,A,0,0,D,13,5,7,4,2.3,3.2,2.7,2.3,3.27,2.8,2.1,3.0,3.1,2.38,3.2,2.6,2.3,3.2,2.75,2.3,3.2,2.75,2.25,3.1,2.8,1.75,1.85,1.72,2.0
2,1,H,0,1,A,24,7,15,5,1.909,3.25,3.5,1.96,3.27,3.75,1.8,3.1,3.8,2.1,3.2,3.0,1.8,3.4,3.75,1.833,3.3,3.75,1.9,3.25,3.4,1.8,1.8,1.8,1.9
0,1,A,0,0,D,14,9,7,3,2.25,3.25,2.75,2.2,3.25,3.11,,,,2.2,3.25,2.75,2.2,3.2,2.88,2.2,3.2,2.875,2.25,3.2,2.75,1.85,1.75,2.0,1.72
0,1,A,0,0,D,12,11,4,5,2.375,3.2,2.625,2.35,3.35,2.75,2.2,3.0,2.9,2.25,3.2,2.75,2.3,3.2,2.75,2.3,3.2,2.75,2.3,3.2,2.62,1.8,1.8,1.9,1.8
1,1,D,1,0,H,18,13,7,7,2.6,3.2,2.4,2.52,3.25,2.52,2.4,3.0,2.6,2.75,3.2,2.25,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.1,2.5,1.85,1.75,1.83,1.83
2,0,H,1,0,H,14,17,11,7,3.5,3.25,1.909,4.0,3.4,1.85,3.6,3.1,1.85,3.2,3.2,2.0,3.6,3.2,1.91,3.6,3.2,1.909,3.75,3.2,1.83,1.75,1.85,1.9,1.8
1,3,A,1,2,A,14,13,6,10,2.5,3.2,2.5,2.55,3.35,2.6,2.4,3.0,2.6,2.38,3.2,2.6,2.4,3.2,2.6,2.5,3.2,2.5,2.37,3.1,2.62,1.85,1.75,1.83,1.83
1,0,H,1,0,H,10,6,3,4,2.1,3.25,3.0,2.18,3.28,2.95,2.1,3.0,3.1,1.91,3.25,3.4,2.1,3.25,3.0,2.1,3.25,3.0,2.0,3.3,3.1,1.8,1.8,1.9,1.8
2,0,H,1,0,H,8,12,6,5,2.25,3.25,2.75,2.36,3.32,2.82,2.2,3.0,2.9,2.2,3.25,2.75,2.25,3.25,2.75,2.375,3.2,2.75,2.25,3.2,2.75,1.79,1.9,1.72,2.0
2,2,D,0,0,D,12,14,5,8,1.615,3.4,5.0,1.65,3.4,5.0,1.7,3.2,4.2,1.57,3.25,5.5,1.67,3.2,5.0,1.667,3.2,5.0,1.61,3.3,5.0,1.85,1.75,1.9,1.8
2,0,H,0,0,D,13,6,8,2,1.727,3.5,4.0,1.8,3.3,4.05,1.8,3.1,3.8,1.73,3.4,4.0,1.8,3.25,4.0,1.75,3.25,4.2,1.83,3.2,3.75,1.85,1.75,2.1,1.66
3,1,H,2,0,H,10,13,6,7,1.444,3.6,7.0,1.48,3.7,6.6,1.5,3.7,5.0,1.44,3.6,6.5,1.44,3.6,7.0,1.444,3.6,7.0,1.4,3.6,7.5,1.75,1.85,1.9,1.8
0,3,A,0,1,A,8,11,6,7,2.3,3.2,2.7,2.3,3.19,2.85,2.2,3.0,2.9,2.5,3.2,2.5,2.25,3.25,2.75,2.3,3.2,2.75,2.25,3.2,2.75,1.9,1.71,2.1,1.66
2,1,H,1,1,D,23,13,12,3,1.8,3.25,4.0,1.68,3.3,4.82,1.7,3.2,4.2,1.57,3.25,5.5,1.67,3.2,5.0,1.667,3.2,5.0,1.66,3.3,4.5,1.95,1.7,2.1,1.66
2,2,D,0,0,D,12,14,5,9,2.1,3.25,3.0,2.2,3.25,3.15,2.1,3.0,3.1,2.0,3.4,3.0,2.1,3.25,3.0,2.1,3.25,3.0,2.1,3.3,2.87,1.8,1.8,1.9,1.8
2,1,H,2,1,H,12,17,7,9,1.833,3.25,3.75,1.95,3.25,3.5,2.1,3.0,3.1,1.83,3.2,3.75,2.0,3.25,3.25,2.0,3.25,3.25,1.9,3.2,3.5,1.9,1.7,1.83,1.83
3,0,H,2,0,H,14,10,10,3,1.286,4.5,9.0,1.32,5.0,12.0,1.3,4.2,8.0,1.22,5.0,10.0,1.25,5.0,8.5,1.286,4.5,9.0,1.25,5.0,8.0,1.6,2.07,1.66,2.1
1,1,D,1,1,D,9,16,6,11,2.625,3.2,2.375,2.55,3.35,2.52,2.5,3.0,2.5,2.75,3.2,2.25,2.63,3.2,2.38,2.7,3.1,2.375,2.5,3.1,2.5,1.85,1.75,1.9,1.8
1,1,D,0,0,D,16,17,9,11,2.3,3.2,2.7,2.35,3.25,2.7,2.1,3.0,3.1,2.2,3.25,2.75,2.25,3.25,2.75,2.375,3.2,2.625,2.3,3.1,2.75,1.8,1.8,1.8,1.9
0,1,A,0,1,A,7,2,0,1,1.8,3.25,4.0,1.82,3.3,3.95,1.8,3.1,3.8,1.67,3.4,4.33,1.8,3.25,4.0,1.8,3.25,4.0,1.72,3.4,4.0,1.85,1.75,2.0,1.72
2,1,H,1,0,H,7,11,3,4,4.333,3.25,1.727,4.5,3.4,1.71,4.0,3.2,1.75,4.5,3.25,1.67,4.33,3.25,1.73,4.333,3.25,1.727,4.2,3.25,1.72,1.8,1.8,2.0,1.72
1,1,D,1,1,D,14,6,10,4,3.0,3.1,2.2,3.2,3.1,2.15,2.9,3.0,2.2,3.4,3.25,1.91,2.88,3.2,2.2,3.1,3.1,2.1,3.0,3.0,2.2,1.8,1.8,1.72,2.0
0,3,A,0,2,A,17,9,9,7,2.4,3.2,2.6,2.5,3.3,2.5,2.4,2.9,2.7,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.25,3.2,2.75,1.8,1.8,1.9,1.8
2,0,H,1,0,H,26,3,14,1,1.4,3.75,7.5,1.4,4.25,7.25,1.35,4.0,7.0,1.4,3.75,7.0,1.4,3.75,7.5,1.4,3.75,7.5,1.36,3.75,8.0,1.7,1.9,1.72,2.0
1,1,D,0,1,A,8,8,5,5,2.2,3.25,2.8,2.22,3.2,3.04,2.2,3.0,2.9,2.2,3.25,2.75,2.2,3.2,2.88,2.2,3.2,2.875,2.1,3.2,3.0,1.95,1.65,2.1,1.66
2,0,H,1,0,H,16,12,8,4,1.5,3.5,6.0,1.55,4.01,6.25,1.55,3.5,4.8,1.5,3.4,6.0,1.5,3.5,6.0,1.5,3.4,6.5,1.5,3.4,6.0,1.8,1.83,1.8,1.9
1,1,D,0,0,D,19,10,11,4,1.909,3.25,3.5,1.95,3.35,3.68,1.85,3.2,3.5,1.91,3.4,3.25,2.0,3.25,3.25,1.909,3.25,3.5,1.83,3.4,3.5,1.85,1.78,1.9,1.8
2,0,H,1,0,H,19,6,14,0,1.533,3.5,5.5,1.6,3.8,5.9,1.6,3.4,4.6,1.44,3.75,6.0,1.53,3.4,6.0,1.533,3.4,6.0,1.53,3.4,5.5,1.8,1.84,1.72,2.0
2,2,D,2,0,H,9,11,5,7,2.375,2.875,2.875,2.31,3.15,3.0,2.2,3.0,2.9,2.25,3.2,2.75,2.25,3.0,3.0,2.25,3.0,3.0,2.2,3.0,3.0,1.95,1.65,2.2,1.61
1,1,D,1,0,H,13,6,6,3,1.833,3.25,3.75,1.86,3.4,4.0,1.85,3.2,3.5,1.67,3.4,4.33,1.91,3.25,3.5,1.833,3.25,3.75,1.83,3.2,3.75,1.92,1.73,1.83,1.83
1,0,H,1,0,H,9,12,3,6,4.0,3.5,1.727,4.0,3.4,1.81,3.8,3.1,1.8,4.0,3.4,1.73,4.33,3.25,1.73,4.0,3.25,1.8,4.5,3.3,1.66,1.7,1.9,1.8,1.9
0,0,D,0,0,D,14,5,8,2,1.833,3.25,3.75,1.8,3.35,4.1,1.8,3.1,3.8,1.91,3.25,3.4,1.91,3.25,3.5,1.909,3.2,3.75,1.8,3.25,3.8,1.8,1.8,1.9,1.8
2,3,A,1,1,D,19,9,18,9,2.25,3.25,2.75,2.33,3.2,2.79,2.2,3.0,2.9,2.2,3.25,2.75,2.25,3.25,2.75,2.25,3.25,2.75,2.2,3.2,2.8,1.7,1.9,1.83,1.83
1,1,D,1,1,D,6,8,3,5,2.5,3.2,2.5,2.5,3.15,2.58,2.5,3.0,2.5,2.5,3.25,2.4,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.1,2.5,1.9,1.7,2.0,1.72
4,3,H,3,1,H,11,14,7,8,3.0,3.25,2.1,3.1,3.25,2.1,3.1,3.0,2.1,3.4,3.5,1.83,3.0,3.25,2.1,3.0,3.25,2.1,3.0,3.2,2.1,1.8,1.8,1.83,1.83
0,0,D,0,0,D,11,10,4,6,1.5,3.5,6.0,1.45,3.65,6.9,1.5,3.7,5.0,1.57,3.25,5.5,1.44,3.6,7.0,1.444,3.6,7.0,1.44,3.6,6.5,1.8,1.8,1.72,2.0
1,1,D,1,0,H,12,10,6,5,1.615,3.6,4.5,1.62,3.45,5.0,1.6,3.4,4.6,1.67,3.25,4.5,1.67,3.4,4.5,1.615,3.4,5.0,1.61,3.3,5.0,1.8,1.8,1.9,1.8
3,1,H,1,1,D,13,11,10,5,1.909,3.25,3.5,2.05,3.25,3.25,2.0,3.1,3.2,2.0,3.4,3.0,2.0,3.25,3.25,2.0,3.25,3.25,2.0,3.2,3.2,1.8,1.8,2.0,1.72
3,1,H,1,0,H,13,14,5,6,4.0,3.25,1.8,4.0,3.4,1.77,3.6,3.1,1.85,3.4,3.25,1.91,4.0,3.4,1.73,3.75,3.3,1.833,3.75,3.2,1.83,1.7,1.9,1.8,1.9
1,2,A,1,0,H,18,11,6,4,2.4,3.2,2.6,2.55,3.2,2.5,2.5,3.0,2.5,2.5,3.25,2.4,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.1,2.5,1.9,1.7,2.1,1.66
2,2,D,0,1,A,20,10,12,7,1.667,3.4,4.5,1.66,3.45,4.6,1.8,3.1,3.8,1.67,3.4,4.33,1.67,3.4,4.5,1.667,3.4,4.5,1.66,3.3,4.5,1.8,1.8,1.83,1.83
1,2,A,1,0,H,6,11,2,4,5.5,3.5,1.533,6.0,3.7,1.5,4.6,3.4,1.6,5.0,3.5,1.57,5.5,3.5,1.53,5.5,3.6,1.533,5.0,3.5,1.57,1.7,1.9,1.72,2.0
1,1,D,0,0,D,11,11,5,5,2.25,3.25,2.75,2.15,3.3,3.0,2.1,3.0,3.1,2.1,3.4,2.8,2.1,3.25,3.0,2.1,3.25,3.0,2.25,3.2,2.75,1.9,1.7,2.0,1.72
1,0,H,1,0,H,11,12,9,4,2.25,3.25,2.75,2.35,3.2,2.87,2.2,3.0,2.9,2.0,3.4,3.0,2.1,3.25,3.0,2.1,3.25,3.0,2.37,3.1,2.62,1.93,1.75,2.1,1.66
2,2,D,1,1,D,11,7,3,1,1.615,3.4,5.0,1.7,3.45,4.85,1.65,3.3,4.4,1.62,3.5,4.5,1.62,3.4,5.0,1.615,3.4,5.0,1.61,3.3,5.0,1.88,1.78,1.83,1.83
1,0,H,1,0,H,8,18,5,8,1.667,3.5,4.333,1.69,3.45,4.6,1.65,3.3,4.4,1.62,3.5,4.5,1.67,3.4,4.5,1.667,3.4,4.5,1.66,3.3,4.5,1.85,1.85,2.0,1.72
0,0,D,0,0,D,15,3,9,1,1.533,3.5,5.5,1.62,3.55,5.7,1.65,3.3,4.4,1.5,3.4,6.0,1.53,3.4,6.0,1.533,3.4,6.0,1.57,3.3,5.5,1.85,1.85,1.8,1.9
0,1,A,0,0,D,15,13,7,8,2.25,3.4,2.625,2.2,3.25,2.96,2.3,3.0,2.7,2.2,3.25,2.75,2.25,3.2,2.8,2.25,3.2,2.8,2.2,3.2,2.8,1.9,1.8,2.0,1.72
2,0,H,2,0,H,6,17,4,4,2.625,3.2,2.375,2.7,3.35,2.33,2.7,3.0,2.3,2.75,3.2,2.25,2.7,3.2,2.3,2.7,3.2,2.3,2.75,3.2,2.25,1.93,1.75,1.9,1.8
2,0,H,1,0,H,22,7,10,2,1.25,5.0,9.0,1.26,5.0,9.51,1.25,4.5,9.0,1.2,5.0,11.0,1.22,5.0,10.0,1.222,5.0,10.0,1.25,5.0,8.0,1.65,2.2,1.72,2.0
2,1,H,0,0,D,18,4,6,1,1.667,3.5,4.333,1.73,3.45,4.6,1.7,3.2,4.2,1.57,3.5,5.0,1.67,3.4,4.5,1.667,3.4,4.5,1.66,3.3,4.5,1.95,1.75,2.0,1.72
1,1,D,0,0,D,13,9,6,2,1.727,3.25,4.333,1.85,3.35,4.0,1.8,3.1,3.8,1.8,3.25,3.75,1.73,3.25,4.33,1.727,3.25,4.333,1.83,3.2,3.75,1.85,1.85,1.83,1.83
2,1,H,1,0,H,14,9,10,6,1.8,3.4,3.75,1.85,3.35,4.05,1.8,3.1,3.8,1.8,3.2,4.0,1.67,3.4,4.33,1.8,3.25,4.0,1.72,3.25,4.2,1.8,1.9,1.72,2.0
3,2,H,1,0,H,7,8,7,7,1.8,3.25,4.0,1.85,3.25,4.2,1.8,3.1,3.8,1.8,3.25,3.75,1.73,3.25,4.33,1.75,3.25,4.2,1.72,3.25,4.2,1.8,1.8,1.9,1.8
2,0,H,1,0,H,12,9,7,4,1.727,3.25,4.333,1.81,3.3,4.5,1.7,3.2,4.2,1.67,3.25,4.5,1.73,3.25,4.33,1.727,3.25,4.333,1.72,3.25,4.2,1.8,1.8,1.9,1.8
1,0,H,0,0,D,17,7,10,3,1.909,3.25,3.5,2.0,3.25,3.6,1.9,3.1,3.5,1.8,3.25,3.75,1.83,3.25,3.75,1.909,3.25,3.5,1.83,3.3,3.6,1.85,1.75,2.0,1.72
2,2,D,1,1,D,12,9,5,2,1.8,3.25,4.0,2.0,3.25,3.6,2.0,3.1,3.2,1.8,3.4,3.6,1.83,3.25,3.75,1.85,3.25,3.75,1.9,3.25,3.4,1.8,1.8,1.83,1.83
2,0,H,1,0,H,12,9,6,5,1.615,3.4,5.0,1.66,3.5,5.1,1.65,3.3,4.4,1.53,3.5,5.5,1.57,3.4,5.5,1.571,3.4,5.5,1.57,3.5,5.0,1.8,1.8,1.9,1.8
2,1,H,0,1,A,31,4,18,1,1.2,5.5,10.0,1.21,5.2,12.5,1.2,5.0,10.0,1.17,5.5,12.0,1.2,5.5,10.0,1.2,5.5,10.0,1.2,5.5,9.0,1.65,1.95,1.66,2.1
1,0,H,1,0,H,8,5,5,4,2.3,3.2,2.7,2.35,3.25,2.8,2.3,3.0,2.7,2.2,3.25,2.75,2.25,3.25,2.75,2.3,3.3,2.625,2.3,3.1,2.75,1.7,1.9,1.83,1.83
1,0,H,0,0,D,12,11,6,7,2.2,3.25,3.25,2.3,3.25,2.91,2.2,3.0,2.9,2.0,3.4,3.0,2.0,3.25,3.25,2.1,3.25,3.0,2.1,3.2,3.0,1.9,1.7,1.9,1.8
0,0,D,0,0,D,17,13,5,8,2.25,3.25,2.75,2.2,3.2,2.95,2.2,3.0,2.9,2.25,3.2,2.75,2.25,3.25,2.75,2.3,3.2,2.7,2.3,3.1,2.75,1.9,1.7,1.9,1.8
4,1,H,3,1,H,15,6,7,5,1.571,3.4,5.5,1.55,3.6,5.5,1.65,3.3,4.4,1.57,3.25,5.5,1.53,3.4,6.0,1.533,3.4,6.0,1.53,3.4,5.5,1.8,1.8,1.83,1.83
1,1,D,1,0,H,19,8,11,3,1.533,3.5,5.5,1.55,3.6,5.5,1.5,3.5,5.4,1.44,3.6,6.5,1.57,3.5,5.0,1.533,3.4,6.0,1.57,3.3,5.5,1.85,1.75,2.0,1.72
2,1,H,1,0,H,11,4,5,3,2.25,3.25,2.75,2.4,3.2,2.7,2.2,3.1,2.8,2.4,3.25,2.5,2.38,3.2,2.63,2.375,3.2,2.625,2.25,3.2,2.75,1.75,1.85,1.8,1.9
2,2,D,0,1,A,12,17,4,8,2.1,3.25,3.0,2.0,3.2,3.45,1.9,3.1,3.5,1.91,3.25,3.4,2.0,3.25,3.25,2.0,3.25,3.25,2.0,3.2,3.2,1.8,1.8,2.0,1.72
0,0,D,0,0,D,9,12,4,4,2.5,3.2,2.5,2.55,3.2,2.5,2.6,3.0,2.4,2.6,3.2,2.38,2.5,3.2,2.5,2.5,3.2,2.5,2.75,3.1,2.3,1.9,1.7,2.1,1.66
1,3,A,1,2,A,9,9,3,4,5.5,3.5,1.533,5.5,3.6,1.55,4.6,3.4,1.6,6.0,3.4,1.5,6.0,3.5,1.5,6.0,3.4,1.533,5.5,3.4,1.53,1.65,1.95,1.83,1.83
2,2,D,2,1,H,13,12,8,7,2.7,3.2,2.3,2.62,3.25,2.4,2.5,3.0,2.5,2.5,3.25,2.4,2.63,3.2,2.38,2.625,3.2,2.375,2.62,3.1,2.37,1.8,1.8,1.8,1.9
0,4,A,0,2,A,10,12,4,9,5.0,3.4,1.615,5.0,3.55,1.6,4.4,3.3,1.65,5.0,3.5,1.57,5.0,3.5,1.57,5.5,3.4,1.571,5.0,3.5,1.57,1.75,1.85,1.8,1.9
4,3,H,1,1,D,18,13,12,10,1.909,3.25,3.5,1.9,3.35,3.6,1.9,3.1,3.5,2.0,3.2,3.2,2.0,3.25,3.25,2.0,3.25,3.25,2.0,3.1,3.3,1.8,1.8,1.8,1.9
0,1,A,0,0,D,11,10,5,6,2.2,3.25,2.8,2.25,3.25,2.9,2.1,3.0,3.1,2.1,3.2,3.0,2.2,3.2,2.88,2.2,3.2,2.875,2.2,3.1,2.87,1.9,1.7,2.0,1.72
1,1,D,1,0,H,14,15,10,7,1.615,3.4,5.0,1.65,3.45,4.85,1.6,3.4,4.6,1.62,3.25,5.0,1.62,3.4,5.0,1.615,3.4,5.0,1.61,3.3,5.0,1.95,1.65,2.1,1.66
1,1,D,0,0,D,10,10,5,5,1.727,3.5,4.0,1.8,3.25,4.2,1.85,3.1,3.6,1.62,3.25,5.0,1.8,3.25,4.0,1.8,3.25,4.0,1.72,3.2,4.33,1.9,1.7,2.0,1.72
2,1,H,0,1,A,15,7,9,5,1.615,3.4,5.0,1.7,3.4,4.6,1.7,3.2,4.2,1.62,3.25,5.0,1.62,3.4,5.0,1.615,3.4,5.0,1.61,3.3,5.0,1.85,1.75,2.0,1.72
0,0,D,0,0,D,10,8,4,1,1.533,3.5,5.5,1.5,3.7,6.0,1.45,3.6,5.8,1.44,3.6,6.5,1.5,3.5,6.0,1.5,3.5,6.0,1.44,3.75,6.0,1.9,1.7,2.0,1.72
2,1,H,1,1,D,10,10,8,5,1.727,3.25,4.333,1.75,3.4,4.33,1.8,3.1,3.8,1.73,3.4,4.0,1.73,3.25,4.33,1.727,3.25,4.333,1.72,3.1,4.5,1.7,1.9,1.66,2.1
2,0,H,1,0,H,13,6,10,2,1.727,3.5,4.0,1.7,3.4,4.6,1.8,3.1,3.8,1.57,3.5,5.0,1.62,3.4,5.0,1.667,3.4,4.5,1.66,3.4,4.33,1.7,1.9,1.72,2.0
0,1,A,0,1,A,8,17,4,7,2.4,3.2,2.6,2.5,3.2,2.6,2.5,3.0,2.5,2.25,3.2,2.75,2.38,3.2,2.63,2.5,3.2,2.5,2.3,3.1,2.75,1.9,1.7,1.9,1.8
