FTHG,FTAG,FTR,HTHG,HTAG,HR,B365H,B365D,B365A,IWH,IWD,IWA,WHH,WHD,WHA,VCH,VCD,VCA
0.0,1.0,A,0.0,0.0,0.0,6.5,4.0,1.53,6.0,3.7,1.55,7.5,3.75,1.5,5.5,3.6,1.57
6.0,1.0,H,2.0,1.0,0.0,1.14,7.5,23.0,1.15,6.5,15.0,1.14,7.0,19.0,1.12,6.5,17.0
0.0,1.0,A,0.0,1.0,0.0,4.2,3.4,1.91,3.9,3.3,1.9,4.0,3.3,1.95,3.75,3.25,1.91
0.0,2.0,A,0.0,0.0,0.0,8.5,4.5,1.4,7.5,4.3,1.4,9.0,4.5,1.36,7.5,4.0,1.4
5.0,0.0,H,2.0,0.0,0.0,1.33,5.0,10.0,1.35,4.5,8.5,1.33,4.8,9.0,1.3,4.5,9.5
3.0,1.0,H,1.0,0.0,0.0,10.0,5.0,1.33,8.5,4.5,1.35,10.0,5.0,1.3,9.5,4.5,1.3
5.0,2.0,H,1.0,0.0,0.0,1.73,3.6,5.0,1.75,3.5,4.6,1.7,3.6,5.0,1.67,3.4,5.0
3.0,1.0,H,2.0,1.0,0.0,1.44,4.33,7.5,1.45,4.0,7.0,1.4,4.33,8.0,1.4,4.0,7.5
2.0,2.0,D,1.0,1.0,0.0,3.8,3.6,1.95,3.6,3.3,2.0,4.0,3.4,1.91,3.75,3.4,1.91
2.0,1.0,H,0.0,0.0,0.0,2.3,3.25,3.2,2.3,3.3,2.9,2.1,3.2,3.0,2.2,3.2,3.2
2.0,1.0,H,0.0,0.0,0.0,2.88,3.3,2.5,2.6,3.2,2.6,2.62,3.2,2.3,2.75,3.3,2.4
2.0,2.0,D,0.0,1.0,0.0,1.2,6.5,15.0,1.17,6.0,15.0,1.17,5.5,12.0,1.2,6.0,11.0
0.0,1.0,A,0.0,1.0,0.0,2.0,3.4,3.8,2.2,3.3,3.1,1.91,3.25,3.4,2.1,3.25,3.25
6.0,2.0,H,3.0,2.0,0.0,1.2,6.5,15.0,1.2,5.5,14.0,1.2,5.0,11.0,1.2,6.0,11.0
2.0,0.0,H,0.0,0.0,0.0,2.1,3.3,3.6,2.1,3.2,3.45,2.1,3.1,3.1,2.2,3.1,3.25
1.0,1.0,D,0.0,0.0,0.0,1.57,4.0,6.0,1.5,3.9,6.5,1.53,3.5,5.5,1.57,3.5,5.5
2.0,2.0,D,1.0,0.0,0.0,2.2,3.25,3.4,2.1,3.3,3.35,2.0,3.2,3.2,2.1,3.2,3.4
1.0,1.0,D,1.0,0.0,0.0,2.75,3.25,2.63,2.6,3.2,2.6,2.62,3.3,2.62,2.6,3.2,2.6
3.0,1.0,H,2.0,1.0,0.0,1.17,7.0,19.0,1.2,5.5,14.0,1.17,7.0,17.0,1.14,6.0,15.0
2.0,1.0,H,1.0,1.0,0.0,4.5,3.6,1.8,4.0,3.4,1.85,4.6,3.4,1.8,4.33,3.4,1.8
1.0,1.0,D,0.0,0.0,0.0,1.44,4.2,6.5,1.45,4.0,7.0,1.44,4.0,8.0,1.44,3.6,7.0
2.0,1.0,H,2.0,0.0,0.0,1.2,5.5,13.0,1.2,5.5,14.0,1.2,5.0,11.0,1.18,6.0,11.0
1.0,2.0,A,0.0,2.0,1.0,4.5,3.5,1.83,4.3,3.4,1.8,4.6,3.4,1.8,4.0,3.4,1.8
2.0,1.0,H,1.0,1.0,0.0,2.1,3.3,3.6,2.1,3.25,3.4,2.15,3.3,3.4,2.0,3.3,3.4
1.0,0.0,H,1.0,0.0,0.0,4.2,3.4,1.91,4.6,3.5,1.75,4.6,3.4,1.8,4.0,3.4,1.8
3.0,2.0,H,3.0,1.0,0.0,1.73,3.6,5.0,1.75,3.5,4.6,1.75,3.4,5.0,1.75,3.5,4.5
1.0,1.0,D,1.0,0.0,0.0,5.0,3.6,1.73,4.6,3.5,1.75,5.0,3.5,1.73,4.5,3.4,1.7
2.0,0.0,H,1.0,0.0,0.0,1.67,3.6,5.5,1.7,3.5,4.9,1.62,3.75,5.5,1.67,3.4,4.5
2.0,1.0,H,1.0,0.0,0.0,2.9,3.25,2.5,2.65,3.2,2.55,2.8,3.3,2.5,2.88,3.2,2.4
1.0,3.0,A,1.0,1.0,0.0,2.5,3.3,2.88,2.4,3.2,2.85,2.4,3.3,2.9,2.4,3.25,2.8
5.0,0.0,H,1.0,0.0,0.0,1.2,6.5,15.0,1.22,5.3,13.0,1.17,6.5,19.0,1.18,5.5,13.0
0.0,0.0,D,0.0,0.0,0.0,2.6,3.2,2.8,2.4,3.2,2.85,2.5,3.3,2.8,2.5,3.25,2.7
0.0,1.0,A,0.0,0.0,0.0,1.44,4.33,7.5,1.45,4.0,7.0,1.44,4.0,8.0,1.44,3.75,7.0
1.0,1.0,D,0.0,0.0,0.0,3.5,3.2,2.2,3.4,3.25,2.1,3.4,3.3,2.15,3.4,3.2,2.1
3.0,2.0,H,2.0,1.0,0.0,2.63,3.25,2.75,2.6,3.2,2.6,2.8,3.3,2.5,2.5,3.2,2.5
2.0,0.0,H,0.0,0.0,1.0,3.0,3.25,2.4,2.7,3.2,2.5,2.88,3.2,2.5,2.6,3.2,2.5
2.0,2.0,D,0.0,0.0,0.0,1.44,4.2,8.0,1.4,4.3,7.5,1.44,4.0,8.0,1.44,3.75,7.0
