FTHG,FTAG,B365H,B365D,B365A
0,3,2.6,3.2,2.5
2,3,2,3.25,3.4
0,1,1.533,3.4,6.5
0,3,1.667,3.4,5
0,0,2.75,3.2,2.375
1,2,4,3.4,1.8
1,0,5,3.4,1.667
1,1,1.28,4.5,10
1,3,2.8,3.25,2.3
2,0,2.3,3.2,2.87
0,2,5,3.6,1.61
4,2,1.53,3.6,6
2,2,2.37,3.2,2.75
2,0,1.61,3.4,5.5
2,2,1.83,3.25,4
4,1,1.83,3.25,4
4,0,2.6,3.2,2.5
2,1,1.9,3.25,3.75
2,2,2.3,3.25,2.8
0,2,2.1,3.25,3.2
2,1,1.3,4.5,9.5
0,0,1.5,3.6,6.5
1,2,2.25,3.25,2.87
1,3,2,3.25,3.4
0,5,6.5,3.6,1.5
0,0,2,3.25,3.4
1,0,2.3,3.25,2.8
3,2,1.53,3.5,5.5
2,0,1.9,3.25,3.75
1,1,1.61,3.6,5
1,0,1.33,4.33,8.5
1,4,6.5,3.6,1.5
0,1,1.8,3.2,4.33
0,2,1.8,3.4,4
3,2,4.33,3.2,1.8
4,0,1.83,3.25,4
0,0,1.72,3.4,4.5
2,0,1.61,3.6,5
2,1,2.5,3.3,2.5
1,2,2.5,3.3,2.5
3,0,1.3,4.5,9.5
1,0,1.72,3.5,4.33
1,2,2.1,3.25,3.2
3,0,2.25,3.25,2.87
1,0,3.25,3.5,2
1,1,1.8,3.4,4
1,2,4.33,3.5,1.72
0,0,4.33,3.5,1.72
2,1,2.2,3.2,3
0,0,1.57,3.6,5.5
0,1,5,3.6,1.61
6,2,1.66,3.4,5
0,1,2.5,3.3,2.5
1,0,4,3.25,1.83
0,0,2.25,3,3.1
0,0,2,3.25,3.4
1,2,2.6,3.2,2.5
0,1,1.9,3.25,3.75
2,3,2.5,3.2,2.6
0,0,2,3.25,3.4
0,1,2.4,3.2,2.7
1,0,1.5,3.5,7
3,1,1.5,3.5,7
1,3,1.25,5,10
3,0,1.53,3.6,6
2,0,2,3.25,3.4
4,3,2.1,3.25,3.2
1,1,5,3.6,1.61
0,0,1.83,3.25,4
0,1,4.5,3.4,1.72
1,4,5.5,3.6,1.57
3,0,1.25,5,10
2,0,1.72,3.4,4.5
1,1,1.57,3.6,5.5
0,2,2.2,3.4,2.87
0,1,1.72,3.4,4.5
1,2,2.7,3.25,2.37
2,0,2.5,3.3,2.5
1,2,1.9,3.25,3.75
2,1,1.4,3.75,8.5
0,2,2,3.25,3.4
0,0,2.37,3.2,2.75
3,1,2.25,3.25,2.87
6,1,1.83,3.25,4
1,1,2.6,3.2,2.5
5,0,1.61,3.6,5
1,2,2.75,3.2,2.37
0,3,1.44,3.8,7
2,1,2.25,3.25,2.87
0,3,4.5,3.4,1.72
2,0,1.66,3.4,5
0,2,2.2,3.2,3
1,1,2.7,3.25,2.37
2,1,1.25,5,10
0,0,2.8,3.25,2.3
3,0,1.8,3.4,4
0,1,4.5,3.4,1.72
2,1,1.9,3.25,3.75
2,0,1.83,3.25,4
1,0,2.25,3.25,2.87
1,0,2.1,3.25,3.2
2,0,2.25,3.25,2.87
0,1,1.61,3.4,5.5
0,2,1.8,3.4,4
1,1,3.75,3.25,1.9
0,0,1.33,4.33,8.5
1,0,2.37,3.25,2.7
3,1,1.57,3.6,5.5
0,1,1.9,3.25,3.75
0,4,2.2,3.2,3
